case_id,bank_transaction_id,invoice_number,settlement_id,journal_id,expected_status,reason
C01,TXN7740021,INV-2026-07-1001,STLM-20260703-101,JNL-2026-07-0001,MATCHED,"Own-platform sale settled by PayNova gateway; gross, fee and payout tie out exactly; bank credit lands next day."
C02,TXN7740088,INV-2026-07-1004,STLM-20260704-102,JNL-2026-07-0001,MATCHED,Own-platform sale settled by PayNova gateway; part of the same weekly revenue batch as C01.
C03,TXN7741190,INV-2026-07-1009,STLM-20260709-103,JNL-2026-07-0002,MATCHED,"Own-platform sale, clean 1:1 settlement; note a duplicate ledger re-post of this invoice exists separately (see C17)."
C04,TXN7741244,INV-2026-07-1012,STLM-20260710-104,JNL-2026-07-0002,MATCHED,"Own-platform sale, clean 1:1 settlement, same weekly revenue batch as C03."
C05,TXN7742901,INV-2026-07-1020,STLM-20260716-105,JNL-2026-07-0003,MATCHED,"Own-platform sale, clean 1:1 settlement."
C06,TXN7742918,INV-2026-07-1024,STLM-20260717-106,JNL-2026-07-0003,MATCHED,"Own-platform sale, clean 1:1 settlement; amount (INR 4,956 net) coincidentally close to other mid-size orders in the set."
C07,TXN7740355,INV-2026-07-1030,STLM-20260706-201,JNL-2026-07-0004,MATCHED,"Textbook clean match: invoice gross INR 18,750 = settlement gross_sales; commission + payment fee fully explain the INR 16,432 bank credit."
C08,TXN7740621,INV-2026-07-1033,STLM-20260708-202,JNL-2026-07-0004,MATCHED,"Batched settlement: gross_sales (INR 15,800) = sum of invoices INV-2026-07-1033 + INV-2026-07-1034; commission/fee applied to the combined batch."
C08b,TXN7740621,INV-2026-07-1034,STLM-20260708-202,JNL-2026-07-0004,MATCHED,Second invoice in the same batched Bazaarly settlement as C08; both orders share one bank credit and one settlement record.
C09,TXN7741620,INV-2026-07-1041,STLM-20260712-301,JNL-2026-07-0005,MATCHED,"Partial-amount + date-difference case: gross INR 27,860 reduced by commission, payment fee AND a INR 1,200 customer return; the resulting INR 21,979.52 bank credit lands 4 days after settlement because the refund needed manual clearance. Fully explainable and traceable from the records despite the multi-deduction chain and longer delay."
C10,TXN7741788,INV-2026-07-1045,STLM-20260714-302,JNL-2026-07-0005,MATCHED,Batched settlement (INV-2026-07-1045 + INV-2026-07-1046) with a small negative other_adjustments (listing-fee deduction of INR 150); arithmetic still ties out exactly.
C10b,TXN7741788,INV-2026-07-1046,STLM-20260714-302,JNL-2026-07-0005,MATCHED,Second invoice in the same batched ShopKarma settlement as C10.
C11,TXN7741955,INV-2026-07-1050,STLM-20260716-303,JNL-2026-07-0005,REVIEW,"Ambiguous match: INV-2026-07-1050 and INV-2026-07-1051 are for the same customer (Rohit Verma), same date, identical gross amount (INR 5,460). Only one settlement of INR 5,460 exists for the pair and the settlement's bank_reference does not carry an order-level reference, so either invoice is an equally plausible candidate. Intended match is INV-2026-07-1050; requires human confirmation."
C12,TXN7741955,INV-2026-07-1051,STLM-20260716-303,JNL-2026-07-0005,REVIEW,"Alternate candidate for the same ambiguous settlement as C11 - same customer, date and amount as INV-2026-07-1050. This invoice's own settlement may still be pending in a later batch; do not auto-match."
C13,TXN7743301,INV-2026-07-1058,STLM-20260721-401,JNL-2026-07-0006,MATCHED,Clean match with a small positive other_adjustments (INR 120 prior-period correction credit); payout ties out exactly.
C14,TXN7743190,INV-2026-07-1061,STLM-20260720-402,JNL-2026-07-0006,MATCHED,"Batched settlement (INV-2026-07-1061 + INV-2026-07-1062); fast 1-day marketplace turnaround, no deductions beyond standard commission/fee."
C14b,TXN7743190,INV-2026-07-1062,STLM-20260720-402,JNL-2026-07-0006,MATCHED,Second invoice in the same batched Vyapaar Mart settlement as C14.
C15,TXN7743899,INV-2026-07-1069,STLM-20260727-403,JNL-2026-07-0006,MATCHED,Clean match; bank value date (29th) trails the transaction date (28th) and settlement date (27th) by the usual 1-2 business days.
C16,TXN7743760,INV-2026-07-1073,STLM-20260726-404,JNL-2026-07-0006,REVIEW,"Vyapaar Mart appears to have generated two settlement records (STLM-20260726-404 and STLM-20260727-405) with identical gross_sales (INR 12,980), identical fee structure and near-identical payout (INR 10,903.20) one day apart, each with its own bank credit. Only one should map to INV-2026-07-1073; the other is either a duplicate payout or a second, undocumented order. Needs manual review."
C16b,TXN7743812,INV-2026-07-1073,STLM-20260727-405,JNL-2026-07-0006,REVIEW,Alternate settlement/bank-credit candidate for the same ambiguous Vyapaar Mart duplicate-batch case as C16.
C17,,,,JNL-2026-07-0016,EXCEPTION,"Duplicate ledger posting: INV-2026-07-1009 (Meera Krishnan, INR 15,600) was already recognized as revenue in JNL-2026-07-0002 on 2026-07-09. JNL-2026-07-0016 re-posts the same invoice amount on 2026-07-10 with no corresponding second settlement or bank credit. This is an unresolved bookkeeping error, not a real second sale."
C18,TXN7742460,,,,EXCEPTION,"Bank credit of INR 6,200 (NEFT CR-MKTPL INCENTIVE PAYOUT) from Bazaarly has no corresponding settlement record, invoice, or ledger entry in the period. No gross_sales, commission or fee breakdown exists to explain it - a genuine unexplained credit for the finance team to chase."
C19,,INV-2026-07-1076,,,REVIEW,"INV-2026-07-1076 (Anjali Ghosh, INR 3,120, status PENDING) has no settlement record, bank credit, or ledger posting yet within the period. It is unclear whether this will settle in the next cycle or should be written off as a cancelled order - needs human follow-up rather than being auto-classified as either a clean match or a confirmed exception."
